entity_type,dimension,llm,jsd,jsd_ci_lo,jsd_ci_hi,cramers_v,chi2,p_value,n
Dataset,Modalities,GPT-5.1,0.0028,0.0019,0.0074,0.058,29.18,2.13e-03,8663
Dataset,TaskTypes,GPT-5.1,0.0147,0.0122,0.0208,0.141,289.62,8.44e-46,14565
Dataset,Domains,GPT-5.1,0.0062,0.0048,0.0123,0.0923,93.98,1.14e-12,11028
Dataset,Annotation,GPT-5.1,0.002,0.0011,0.0048,0.0528,31.44,5.16e-05,11261
Dataset,Size,GPT-5.1,0.0317,0.0233,0.0416,0.2084,296.92,3.34e-65,6838
Dataset,Granularity,GPT-5.1,0.006,0.0029,0.0143,0.0906,57.86,3.36e-11,7049
Dataset,Linguistic,GPT-5.1,0.0022,0.0006,0.0052,0.0548,20.55,3.45e-05,6838
Dataset,CognitiveAffective,GPT-5.1,0.0047,0.0034,0.0086,0.0807,94.18,6.13e-14,14457
Dataset,DataQuality,GPT-5.1,0.0001,0.0,0.0012,0.0115,0.91,3.41e-01,6843
Dataset,Modalities,Gemini,0.0018,0.0012,0.007,0.0481,19.28,2.29e-02,8347
Dataset,TaskTypes,Gemini,0.0154,0.0125,0.0217,0.1446,297.59,1.83e-48,14235
Dataset,Domains,Gemini,0.0066,0.0049,0.0127,0.0945,95.67,5.62e-13,10719
Dataset,Annotation,Gemini,0.0044,0.0027,0.008,0.0764,63.02,3.76e-11,10792
Dataset,Size,Gemini,0.018,0.0122,0.0258,0.1571,162.33,5.64e-36,6581
Dataset,Granularity,Gemini,0.0059,0.0027,0.0139,0.0892,53.9,2.19e-10,6776
Dataset,Linguistic,Gemini,0.0016,0.0004,0.0041,0.0465,14.2,8.25e-04,6581
Dataset,CognitiveAffective,Gemini,0.0038,0.0026,0.0071,0.0719,73.03,5.44e-10,14143
Dataset,DataQuality,Gemini,0.0006,0.0,0.0025,0.029,5.54,1.86e-02,6583
Dataset,Modalities,DeepSeek,0.0024,0.0015,0.008,0.0543,21.52,1.77e-02,7302
Dataset,TaskTypes,DeepSeek,0.0142,0.0117,0.0205,0.1344,222.51,4.05e-33,12311
Dataset,Domains,DeepSeek,0.0061,0.0046,0.0118,0.0873,71.46,1.20e-08,9375
Dataset,Annotation,DeepSeek,0.0016,0.0008,0.0045,0.0456,20.16,5.23e-03,9688
Dataset,Size,DeepSeek,0.0306,0.0217,0.0417,0.1979,230.83,7.52e-51,5891
Dataset,Granularity,DeepSeek,0.0071,0.0036,0.0152,0.0949,54.3,1.82e-10,6033
Dataset,Linguistic,DeepSeek,0.0005,0.0,0.0022,0.0261,4.01,1.35e-01,5891
Dataset,CognitiveAffective,DeepSeek,0.0062,0.0045,0.0106,0.0895,97.84,1.23e-14,12223
Dataset,DataQuality,DeepSeek,0.0,0.0,0.0009,0.0013,0.01,9.23e-01,5893
Model,Architecture,GPT-5.1,0.0205,0.0152,0.029,0.1519,313.75,1.92e-61,13591
Model,TrainingParadigm,GPT-5.1,0.0073,0.0053,0.0102,0.093,369.59,5.84e-71,42714
Model,Provider,GPT-5.1,0.1117,0.1012,0.1244,0.3528,1405.4,1.05e-292,11290
Model,Openness,GPT-5.1,0.0018,0.0006,0.0037,0.0446,22.45,2.16e-06,11285
Model,Size,GPT-5.1,0.0151,0.0104,0.0214,0.1293,188.53,1.15e-41,11269
Model,Architecture,Gemini,0.0244,0.0187,0.0332,0.1657,368.53,2.89e-72,13426
Model,TrainingParadigm,Gemini,0.0056,0.0041,0.0082,0.0817,278.31,1.66e-52,41707
Model,Provider,Gemini,0.1012,0.0907,0.1137,0.3373,1266.72,7.75e-263,11136
Model,Openness,Gemini,0.0005,0.0,0.0017,0.0242,6.5,1.08e-02,11130
Model,Size,Gemini,0.014,0.0096,0.0199,0.125,173.48,2.13e-38,11108
Model,Architecture,DeepSeek,0.0167,0.0128,0.023,0.1292,207.71,3.97e-39,12448
Model,TrainingParadigm,DeepSeek,0.0057,0.0041,0.0084,0.0757,224.06,7.37e-42,39105
Model,Provider,DeepSeek,0.1384,0.1259,0.1533,0.3336,1177.6,1.17e-243,10582
Model,Openness,DeepSeek,0.009,0.0058,0.0132,0.0961,97.7,4.87e-23,10577
Model,Size,DeepSeek,0.0358,0.0275,0.0459,0.1789,337.68,4.72e-74,10555
Metric,EvType,GPT-5.1,0.0178,0.0138,0.0248,0.1532,212.25,2.12e-39,9048
Metric,EvType,Gemini,0.0114,0.0083,0.0174,0.1181,114.91,1.90e-19,8243
Metric,EvType,DeepSeek,0.0211,0.0166,0.0285,0.1589,198.62,1.44e-36,7868
