entity_type,dimension,llm,jsd_llm,jsd_topk,jsd_sampled,n_papers
Dataset,Entity names,GPT-5.1,0.6889,0.8525,0.211,904
Dataset,Modalities,GPT-5.1,0.0028,0.2108,0.001,904
Dataset,TaskTypes,GPT-5.1,0.0147,0.1475,0.0016,904
Dataset,Domains,GPT-5.1,0.0062,0.1383,0.0023,904
Dataset,Annotation,GPT-5.1,0.002,0.0575,0.0009,904
Dataset,Size,GPT-5.1,0.0317,0.0248,0.0008,904
Dataset,Granularity,GPT-5.1,0.006,0.1532,0.0009,904
Dataset,Linguistic,GPT-5.1,0.0022,0.0262,0.0003,904
Dataset,CognitiveAffective,GPT-5.1,0.0047,0.0711,0.0032,904
Dataset,DataQuality,GPT-5.1,0.0001,0.0611,0.0012,904
Dataset,Entity names,Gemini,0.6875,0.8665,0.2232,891
Dataset,Modalities,Gemini,0.0018,0.208,0.0012,891
Dataset,TaskTypes,Gemini,0.0154,0.1515,0.0019,891
Dataset,Domains,Gemini,0.0066,0.1445,0.0036,891
Dataset,Annotation,Gemini,0.0044,0.0617,0.001,891
Dataset,Size,Gemini,0.018,0.0228,0.0001,891
Dataset,Granularity,Gemini,0.0059,0.1481,0.0009,891
Dataset,Linguistic,Gemini,0.0016,0.0268,0.0008,891
Dataset,CognitiveAffective,Gemini,0.0038,0.0746,0.0033,891
Dataset,DataQuality,Gemini,0.0006,0.0685,0.0009,891
Dataset,Entity names,DeepSeek,0.701,0.8835,0.2872,910
Dataset,Modalities,DeepSeek,0.0024,0.2106,0.0005,910
Dataset,TaskTypes,DeepSeek,0.0142,0.1568,0.0019,910
Dataset,Domains,DeepSeek,0.0061,0.1507,0.0038,910
Dataset,Annotation,DeepSeek,0.0016,0.0447,0.0007,910
Dataset,Size,DeepSeek,0.0306,0.0076,0.0006,910
Dataset,Granularity,DeepSeek,0.0071,0.1393,0.0008,910
Dataset,Linguistic,DeepSeek,0.0005,0.0264,0.0007,910
Dataset,CognitiveAffective,DeepSeek,0.0062,0.1144,0.0044,910
Dataset,DataQuality,DeepSeek,0.0,0.0714,0.0011,910
Model,Entity names,GPT-5.1,0.6973,0.8286,0.2677,942
Model,Architecture,GPT-5.1,0.0205,0.1305,0.0278,942
Model,TrainingParadigm,GPT-5.1,0.0073,0.0783,0.013,942
Model,Provider,GPT-5.1,0.1117,0.6423,0.001,942
Model,Openness,GPT-5.1,0.0018,0.4725,0.0004,942
Model,Size,GPT-5.1,0.0151,0.1571,0.0001,942
Model,Entity names,Gemini,0.7405,0.8316,0.2575,928
Model,Architecture,Gemini,0.0244,0.1343,0.0297,928
Model,TrainingParadigm,Gemini,0.0056,0.0788,0.0125,928
Model,Provider,Gemini,0.1012,0.6535,0.0016,928
Model,Openness,Gemini,0.0005,0.488,0.0002,928
Model,Size,Gemini,0.014,0.1562,0.0004,928
Model,Entity names,DeepSeek,0.8133,0.8493,0.3228,948
Model,Architecture,DeepSeek,0.0167,0.1313,0.0274,948
Model,TrainingParadigm,DeepSeek,0.0057,0.0797,0.0113,948
Model,Provider,DeepSeek,0.1384,0.6915,0.0016,948
Model,Openness,DeepSeek,0.009,0.5445,0.0003,948
Model,Size,DeepSeek,0.0358,0.1819,0.0005,948
Metric,Entity names,GPT-5.1,0.501,0.6691,0.1523,937
Metric,EvType,GPT-5.1,0.0178,0.2642,0.0031,937
Metric,Entity names,Gemini,0.5688,0.6971,0.187,924
Metric,EvType,Gemini,0.0114,0.3249,0.0042,924
Metric,Entity names,DeepSeek,0.4975,0.7041,0.2037,943
Metric,EvType,DeepSeek,0.0211,0.3282,0.0049,943
