entity_type,source,llm_comparison,actual_jaccard,random_jaccard,excess_jaccard,n_unique_entities,n_papers,delta_excess_ci_lo,delta_excess_ci_hi
dataset_type,GT,GPT-5.1,0.0014,0.0022,-0.0008,2692.0,904,,
dataset_type,GPT-5.1,GPT-5.1,0.0061,0.0059,0.0002,1575.0,904,,
dataset_type,delta_GPT-5.1,GPT-5.1,,,0.001,,904,0.0001,0.0019
dataset_type,GT,Gemini,0.0016,0.0022,-0.0006,2652.0,891,,
dataset_type,Gemini,Gemini,0.0054,0.0061,-0.0007,1593.0,891,,
dataset_type,delta_Gemini,Gemini,,,-0.0,,891,-0.0008,0.0008
dataset_type,GT,DeepSeek,0.0014,0.0022,-0.0008,2696.0,910,,
dataset_type,DeepSeek,DeepSeek,0.0049,0.0056,-0.0007,1158.0,910,,
dataset_type,delta_DeepSeek,DeepSeek,,,0.0001,,910,-0.0007,0.001
model_type,GT,GPT-5.1,0.0079,0.0059,0.0019,4285.0,942,,
model_type,GPT-5.1,GPT-5.1,0.0454,0.0399,0.0055,650.0,942,,
model_type,delta_GPT-5.1,GPT-5.1,,,0.0036,,942,0.0018,0.0055
model_type,GT,Gemini,0.008,0.006,0.002,4181.0,928,,
model_type,Gemini,Gemini,0.0686,0.0542,0.0144,670.0,928,,
model_type,delta_Gemini,Gemini,,,0.0124,,928,0.0097,0.015
model_type,GT,DeepSeek,0.008,0.006,0.002,4308.0,948,,
model_type,DeepSeek,DeepSeek,0.0783,0.0641,0.0142,417.0,948,,
model_type,delta_DeepSeek,DeepSeek,,,0.0122,,948,0.0092,0.0152
metric_type,GT,GPT-5.1,0.0293,0.0163,0.013,2586.0,937,,
metric_type,GPT-5.1,GPT-5.1,0.0367,0.0324,0.0043,1049.0,937,,
metric_type,delta_GPT-5.1,GPT-5.1,,,-0.0087,,937,-0.0107,-0.0067
metric_type,GT,Gemini,0.0274,0.016,0.0114,2578.0,924,,
metric_type,Gemini,Gemini,0.0196,0.0188,0.0008,1007.0,924,,
metric_type,delta_Gemini,Gemini,,,-0.0106,,924,-0.0123,-0.0089
metric_type,GT,DeepSeek,0.0279,0.0159,0.012,2602.0,943,,
metric_type,DeepSeek,DeepSeek,0.0725,0.052,0.0205,800.0,943,,
metric_type,delta_DeepSeek,DeepSeek,,,0.0085,,943,0.0058,0.0113
