source,dataset_subcategory,model_subcategory,paper_count,paper_percent,model_column_percent,dataset_row_percent
GPT-5.1,Classification,Meta AI,506,51.16,20.38,28.43
GPT-5.1,Classification,OpenAI,448,45.3,20.96,25.17
GPT-5.1,Reasoning,Meta AI,420,42.47,16.92,29.49
GPT-5.1,Generation,Meta AI,403,40.75,16.23,30.62
GPT-5.1,Reasoning,OpenAI,360,36.4,16.85,25.28
GPT-5.1,Question answering,Meta AI,339,34.28,13.65,29.0
GPT-5.1,Generation,OpenAI,315,31.85,14.74,23.94
GPT-5.1,Classification,Other / Academic,279,28.21,20.98,15.67
GPT-5.1,Question answering,OpenAI,262,26.49,12.26,22.41
GPT-5.1,Classification,Mistral AI,183,18.5,18.89,10.28
GPT-5.1,Generation,Other / Academic,179,18.1,13.46,13.6
GPT-5.1,Reasoning,Other / Academic,172,17.39,12.93,12.08
GPT-5.1,Generation,Mistral AI,166,16.78,17.13,12.61
GPT-5.1,Question answering,Other / Academic,164,16.58,12.33,14.03
GPT-5.1,Reasoning,Mistral AI,156,15.77,16.1,10.96
GPT-5.1,Question answering,Mistral AI,154,15.57,15.89,13.17
GPT-5.1,Retrieval,Meta AI,138,13.95,5.56,28.57
GPT-5.1,Retrieval,OpenAI,121,12.23,5.66,25.05
GPT-5.1,Dialogue,Meta AI,118,11.93,4.75,31.3
GPT-5.1,Classification,Google DeepMind,93,9.4,21.93,5.22
GPT-5.1,Regression,OpenAI,90,9.1,4.21,29.03
GPT-5.1,Retrieval,Other / Academic,89,9.0,6.69,18.43
GPT-5.1,Dialogue,OpenAI,87,8.8,4.07,23.08
GPT-5.1,Alignment,Meta AI,87,8.8,3.5,30.42
GPT-5.1,Reasoning,Alibaba / Qwen team,83,8.39,19.58,5.83
GPT-5.1,Classification,Anthropic,79,7.99,21.64,4.44
GPT-5.1,Regression,Meta AI,79,7.99,3.18,25.48
GPT-5.1,Dialogue,Mistral AI,79,7.99,8.15,20.95
GPT-5.1,Summarization,Meta AI,78,7.89,3.14,30.35
GPT-5.1,Reasoning,Anthropic,76,7.68,20.82,5.34
GPT-5.1,Classification,Alibaba / Qwen team,75,7.58,17.69,4.21
GPT-5.1,Question answering,Alibaba / Qwen team,69,6.98,16.27,5.9
GPT-5.1,Reinforcement learning,Meta AI,69,6.98,2.78,31.08
GPT-5.1,Reinforcement learning,OpenAI,68,6.88,3.18,30.63
GPT-5.1,Forecasting,OpenAI,68,6.88,3.18,27.76
GPT-5.1,Alignment,OpenAI,67,6.77,3.14,23.43
GPT-5.1,Reasoning,Google DeepMind,67,6.77,15.8,4.71
GPT-5.1,Regression,Other / Academic,66,6.67,4.96,21.29
GPT-5.1,Forecasting,Other / Academic,66,6.67,4.96,26.94
GPT-5.1,Sequence labeling,Meta AI,64,6.47,2.58,28.57
GPT-5.1,Forecasting,Meta AI,64,6.47,2.58,26.12
GPT-5.1,Multimodal integration,Other / Academic,63,6.37,4.74,28.77
GPT-5.1,Classification,Microsoft Research,61,6.17,26.99,3.43
GPT-5.1,Sequence labeling,OpenAI,58,5.86,2.71,25.89
GPT-5.1,Generation,Alibaba / Qwen team,57,5.76,13.44,4.33
GPT-5.1,Generation,Google DeepMind,57,5.76,13.44,4.33
GPT-5.1,Question answering,Google DeepMind,56,5.66,13.21,4.79
GPT-5.1,Question answering,Anthropic,53,5.36,14.52,4.53
GPT-5.1,Multimodal integration,OpenAI,53,5.36,2.48,24.2
GPT-5.1,Summarization,OpenAI,52,5.26,2.43,20.23
GPT-5.1,Alignment,Mistral AI,50,5.06,5.16,17.48
GPT-5.1,Generation,Anthropic,48,4.85,13.15,3.65
GPT-5.1,Object detection,Other / Academic,45,4.55,3.38,34.35
GPT-5.1,Reinforcement learning,Other / Academic,42,4.25,3.16,18.92
GPT-5.1,Summarization,Mistral AI,39,3.94,4.02,15.18
GPT-5.1,Retrieval,Mistral AI,39,3.94,4.02,8.07
GPT-5.1,Summarization,Other / Academic,37,3.74,2.78,14.4
GPT-5.1,Multimodal integration,Meta AI,35,3.54,1.41,15.98
GPT-5.1,Reasoning,DeepSeek,35,3.54,22.88,2.46
GPT-5.1,Dialogue,Other / Academic,34,3.44,2.56,9.02
GPT-5.1,Generation,DeepSeek,34,3.44,22.22,2.58
GPT-5.1,Sequence labeling,Other / Academic,34,3.44,2.56,15.18
GPT-5.1,Question answering,Microsoft Research,33,3.34,14.6,2.82
GPT-5.1,Translation,Meta AI,33,3.34,1.33,31.43
GPT-5.1,Reasoning,Microsoft Research,32,3.24,14.16,2.25
GPT-5.1,Object detection,OpenAI,32,3.24,1.5,24.43
GPT-5.1,Generation,Hugging Face,29,2.93,24.17,2.2
GPT-5.1,Translation,OpenAI,28,2.83,1.31,26.67
GPT-5.1,Classification,DeepSeek,28,2.83,18.3,1.57
GPT-5.1,Question answering,DeepSeek,26,2.63,16.99,2.22
GPT-5.1,Alignment,Other / Academic,24,2.43,1.8,8.39
GPT-5.1,Classification,Hugging Face,23,2.33,19.17,1.29
GPT-5.1,Multimodal integration,Alibaba / Qwen team,23,2.33,5.42,10.5
GPT-5.1,Generation,Microsoft Research,22,2.22,9.73,1.67
GPT-5.1,Sequence labeling,Mistral AI,21,2.12,2.17,9.38
GPT-5.1,Retrieval,Alibaba / Qwen team,20,2.02,4.72,4.14
GPT-5.1,Retrieval,Google DeepMind,20,2.02,4.72,4.14
GPT-5.1,Alignment,Anthropic,20,2.02,5.48,6.99
GPT-5.1,Object detection,Meta AI,19,1.92,0.77,14.5
GPT-5.1,Reasoning,Hugging Face,19,1.92,15.83,1.33
GPT-5.1,Regression,Mistral AI,19,1.92,1.96,6.13
GPT-5.1,Retrieval,Microsoft Research,19,1.92,8.41,3.93
GPT-5.1,Object detection,Alibaba / Qwen team,17,1.72,4.01,12.98
GPT-5.1,Sequence labeling,Google DeepMind,17,1.72,4.01,7.59
GPT-5.1,Regression,Google DeepMind,17,1.72,4.01,5.48
GPT-5.1,Dialogue,Google DeepMind,17,1.72,4.01,4.51
GPT-5.1,Summarization,Google DeepMind,16,1.62,3.77,6.23
GPT-5.1,Clustering,Meta AI,16,1.62,0.64,29.09
GPT-5.1,Multimodal integration,Google DeepMind,16,1.62,3.77,7.31
GPT-5.1,Alignment,Google DeepMind,15,1.52,3.54,5.24
GPT-5.1,Dialogue,Anthropic,15,1.52,4.11,3.98
GPT-5.1,Forecasting,Mistral AI,14,1.42,1.44,5.71
GPT-5.1,Retrieval,Hugging Face,14,1.42,11.67,2.9
