source,dataset_subcategory,model_subcategory,paper_count,paper_percent,model_column_percent,dataset_row_percent
gemini,Reasoning,Meta AI,472,48.46,18.13,27.73
gemini,Classification,Meta AI,450,46.2,17.28,27.39
gemini,Generation,Meta AI,405,41.58,15.55,28.62
gemini,Question answering,Meta AI,368,37.78,14.13,28.64
gemini,Reasoning,OpenAI,352,36.14,18.66,20.68
gemini,Classification,OpenAI,340,34.91,18.03,20.69
gemini,Classification,Other / Academic,299,30.7,18.06,18.2
gemini,Generation,OpenAI,267,27.41,14.16,18.87
gemini,Reasoning,Other / Academic,253,25.98,15.28,14.86
gemini,Reasoning,Mistral AI,242,24.85,19.38,14.22
gemini,Question answering,OpenAI,229,23.51,12.14,17.82
gemini,Generation,Other / Academic,223,22.9,13.47,15.76
gemini,Question answering,Mistral AI,219,22.48,17.53,17.04
gemini,Question answering,Other / Academic,217,22.28,13.1,16.89
gemini,Classification,Mistral AI,205,21.05,16.41,12.48
gemini,Generation,Mistral AI,201,20.64,16.09,14.2
gemini,Retrieval,Meta AI,154,15.81,5.91,28.52
gemini,Dialogue,Meta AI,143,14.68,5.49,32.57
gemini,Alignment,Meta AI,136,13.96,5.22,30.56
gemini,Reasoning,Anthropic,118,12.11,22.14,6.93
gemini,Retrieval,OpenAI,115,11.81,6.1,21.3
gemini,Retrieval,Other / Academic,102,10.47,6.16,18.89
gemini,Summarization,Meta AI,101,10.37,3.88,29.97
gemini,Classification,Google DeepMind,95,9.75,18.89,5.78
gemini,Classification,Anthropic,94,9.65,17.64,5.72
gemini,Reasoning,Google DeepMind,88,9.03,17.5,5.17
gemini,Dialogue,Mistral AI,86,8.83,6.89,19.59
gemini,Multimodal integration,Other / Academic,79,8.11,4.77,31.6
gemini,Regression,OpenAI,78,8.01,4.14,27.27
gemini,Alignment,Mistral AI,75,7.7,6.0,16.85
gemini,Alignment,OpenAI,75,7.7,3.98,16.85
gemini,Generation,Anthropic,74,7.6,13.88,5.23
gemini,Question answering,Google DeepMind,73,7.49,14.51,5.68
gemini,Generation,Google DeepMind,71,7.29,14.12,5.02
gemini,Dialogue,OpenAI,69,7.08,3.66,15.72
gemini,Summarization,Other / Academic,67,6.88,4.05,19.88
gemini,Alignment,Other / Academic,67,6.88,4.05,15.06
gemini,Regression,Other / Academic,67,6.88,4.05,23.43
gemini,Reinforcement learning,Meta AI,66,6.78,2.53,27.62
gemini,Regression,Meta AI,66,6.78,2.53,23.08
gemini,Dialogue,Other / Academic,66,6.78,3.99,15.03
gemini,Question answering,Anthropic,62,6.37,11.63,4.82
gemini,Reinforcement learning,OpenAI,62,6.37,3.29,25.94
gemini,Generation,DeepSeek,62,6.37,24.41,4.38
gemini,Forecasting,Meta AI,62,6.37,2.38,28.18
gemini,Summarization,Mistral AI,60,6.16,4.8,17.8
gemini,Multimodal integration,OpenAI,59,6.06,3.13,23.6
gemini,Retrieval,Mistral AI,59,6.06,4.72,10.93
gemini,Reasoning,DeepSeek,58,5.95,22.83,3.41
gemini,Reasoning,Alibaba / Qwen team,58,5.95,18.3,3.41
gemini,Summarization,OpenAI,57,5.85,3.02,16.91
gemini,Forecasting,Other / Academic,55,5.65,3.32,25.0
gemini,Sequence labeling,OpenAI,53,5.44,2.81,24.77
gemini,Classification,Alibaba / Qwen team,52,5.34,16.4,3.16
gemini,Forecasting,OpenAI,51,5.24,2.7,23.18
gemini,Sequence labeling,Meta AI,50,5.13,1.92,23.36
gemini,Question answering,Alibaba / Qwen team,49,5.03,15.46,3.81
gemini,Classification,Microsoft Research,46,4.72,24.47,2.8
gemini,Generation,Alibaba / Qwen team,46,4.72,14.51,3.25
gemini,Object detection,Other / Academic,46,4.72,2.78,35.94
gemini,Multimodal integration,Meta AI,40,4.11,1.54,16.0
gemini,Reinforcement learning,Other / Academic,37,3.8,2.23,15.48
gemini,Translation,Meta AI,36,3.7,1.38,29.51
gemini,Generation,Hugging Face,35,3.59,23.03,2.47
gemini,Sequence labeling,Other / Academic,35,3.59,2.11,16.36
gemini,Retrieval,Anthropic,32,3.29,6.0,5.93
gemini,Object detection,OpenAI,31,3.18,1.64,24.22
