source,dataset_subcategory,model_subcategory,paper_count,paper_percent,model_column_percent,dataset_row_percent
GPT-5.1,Classification,Transformer,612,61.88,20.35,61.38
GPT-5.1,Reasoning,Transformer,497,50.25,16.53,67.9
GPT-5.1,Generation,Transformer,472,47.72,15.7,70.55
GPT-5.1,Question answering,Transformer,408,41.25,13.57,68.46
GPT-5.1,Classification,Generative,260,26.29,20.44,26.08
GPT-5.1,Reasoning,Generative,198,20.02,15.57,27.05
GPT-5.1,Generation,Generative,168,16.99,13.21,25.11
GPT-5.1,Retrieval,Transformer,165,16.68,5.49,57.89
GPT-5.1,Question answering,Generative,163,16.48,12.81,27.35
GPT-5.1,Dialogue,Transformer,124,12.54,4.12,71.26
GPT-5.1,Regression,Transformer,106,10.72,3.53,50.0
GPT-5.1,Alignment,Transformer,94,9.5,3.13,69.63
GPT-5.1,Summarization,Transformer,88,8.9,2.93,66.17
GPT-5.1,Forecasting,Transformer,86,8.7,2.86,47.51
GPT-5.1,Retrieval,Generative,83,8.39,6.53,29.12
GPT-5.1,Reinforcement learning,Transformer,79,7.99,2.63,54.86
GPT-5.1,Multimodal integration,Transformer,78,7.89,2.59,56.93
GPT-5.1,Sequence labeling,Transformer,74,7.48,2.46,61.16
GPT-5.1,Regression,Generative,58,5.86,4.56,27.36
GPT-5.1,Forecasting,Generative,50,5.06,3.93,27.62
GPT-5.1,Object detection,Transformer,50,5.06,1.66,51.55
GPT-5.1,Dialogue,Generative,44,4.45,3.46,25.29
GPT-5.1,Multimodal integration,Generative,42,4.25,3.3,30.66
GPT-5.1,Sequence labeling,Generative,39,3.94,3.07,32.23
GPT-5.1,Summarization,Generative,39,3.94,3.07,29.32
GPT-5.1,Translation,Transformer,37,3.74,1.23,68.52
GPT-5.1,Alignment,Generative,33,3.34,2.59,24.44
GPT-5.1,Object detection,Generative,31,3.13,2.44,31.96
GPT-5.1,Reinforcement learning,Generative,30,3.03,2.36,20.83
GPT-5.1,Classification,Tree-Based,30,3.03,34.48,3.01
GPT-5.1,Classification,CNN,29,2.93,36.25,2.91
GPT-5.1,Classification,Graph Neural Network (Gnn),21,2.12,24.71,2.11
GPT-5.1,Classification,Linear,21,2.12,32.31,2.11
GPT-5.1,Reinforcement learning,Reinforcement Learning (Rl),21,2.12,39.62,14.58
GPT-5.1,Clustering,Transformer,19,1.92,0.63,65.52
GPT-5.1,Retrieval,Graph Neural Network (Gnn),15,1.52,17.65,5.26
GPT-5.1,Translation,Generative,15,1.52,1.18,27.78
GPT-5.1,Regression,Tree-Based,15,1.52,17.24,7.08
GPT-5.1,Regression,Graph Neural Network (Gnn),10,1.01,11.76,4.72
GPT-5.1,Object detection,CNN,10,1.01,12.5,10.31
GPT-5.1,Regression,CNN,9,0.91,11.25,4.25
GPT-5.1,Forecasting,Graph Neural Network (Gnn),9,0.91,10.59,4.97
GPT-5.1,Forecasting,Tree-Based,9,0.91,10.34,4.97
GPT-5.1,Classification,Probabilistic,8,0.81,17.39,0.8
GPT-5.1,Forecasting,Reinforcement Learning (Rl),8,0.81,15.09,4.42
GPT-5.1,Reasoning,Tree-Based,8,0.81,9.2,1.09
GPT-5.1,Classification,RNN,8,0.81,25.0,0.8
GPT-5.1,Retrieval,Linear,7,0.71,10.77,2.46
GPT-5.1,Generation,CNN,7,0.71,8.75,1.05
GPT-5.1,Reasoning,Graph Neural Network (Gnn),7,0.71,8.24,0.96
GPT-5.1,Reasoning,Linear,7,0.71,10.77,0.96
GPT-5.1,Classification,Reinforcement Learning (Rl),6,0.61,11.32,0.6
GPT-5.1,Reasoning,Probabilistic,6,0.61,13.04,0.82
GPT-5.1,Question answering,Probabilistic,6,0.61,13.04,1.01
GPT-5.1,Forecasting,Linear,6,0.61,9.23,3.31
GPT-5.1,Multimodal integration,CNN,6,0.61,7.5,4.38
GPT-5.1,Clustering,Generative,6,0.61,0.47,20.69
GPT-5.1,Forecasting,RNN,6,0.61,18.75,3.31
GPT-5.1,Regression,Linear,6,0.61,9.23,2.83
GPT-5.1,Ranking,Transformer,6,0.61,0.2,31.58
GPT-5.1,Generation,Tree-Based,5,0.51,5.75,0.75
GPT-5.1,Ranking,Generative,5,0.51,0.39,26.32
GPT-5.1,Generation,RNN,5,0.51,15.62,0.75
GPT-5.1,Question answering,Graph Neural Network (Gnn),5,0.51,5.88,0.84
GPT-5.1,Retrieval,Probabilistic,5,0.51,10.87,1.75
GPT-5.1,Question answering,Linear,5,0.51,7.69,0.84
GPT-5.1,Generation,Graph Neural Network (Gnn),4,0.4,4.71,0.6
GPT-5.1,Ranking,Graph Neural Network (Gnn),4,0.4,4.71,21.05
GPT-5.1,Reasoning,Reinforcement Learning (Rl),4,0.4,7.55,0.55
